time	V(n015)	V(n017)
0.000000000000000e+000	2.267234e-002	-1.100876e-006
1.581132065243937e-007	2.265269e-002	-1.100876e-006
3.162264130487875e-007	2.251737e-002	-1.100877e-006
4.743396195731813e-007	2.226639e-002	-1.100877e-006
6.324528260975750e-007	2.189973e-002	-1.100877e-006
7.905660326219687e-007	2.141742e-002	-1.100877e-006
9.486792391463625e-007	2.081943e-002	-1.100877e-006
1.106792445670756e-006	2.010578e-002	-1.100877e-006
1.988778522732485e-006	1.500615e-002	-1.100878e-006
2.998421350464264e-006	7.058126e-003	-1.100880e-006
4.084011293997274e-006	-3.569872e-003	-1.100882e-006
5.140284089392240e-006	-1.554368e-002	-1.100884e-006
6.657838008740953e-006	-3.464060e-002	-1.100888e-006
8.805940607545673e-006	-6.369632e-002	-1.100894e-006
1.140297674783288e-005	-1.005521e-001	-1.100901e-006
1.459105548710395e-005	-1.470221e-001	-1.100911e-006
3.288593499530018e-005	-4.163460e-001	-1.100966e-006
4.813183382610047e-005	-6.360091e-001	-1.101012e-006
7.862363148770105e-005	-1.052886e+000	-1.101100e-006
1.274517564877010e-004	-1.650329e+000	-1.101228e-006
1.762798814877010e-004	-2.148737e+000	-1.101337e-006
2.068562974167693e-004	-2.391128e+000	-1.101390e-006
2.281503399066087e-004	-2.517301e+000	-1.101418e-006
2.447562022329676e-004	-2.589591e+000	-1.101434e-006
2.630503814640291e-004	-2.642428e+000	-1.101446e-006
2.862409922768981e-004	-2.668814e+000	-1.101452e-006
3.238156053796835e-004	-2.627564e+000	-1.101443e-006
3.726437303796835e-004	-2.462607e+000	-1.101406e-006
4.039783565794073e-004	-2.288933e+000	-1.101367e-006
4.442668529615555e-004	-1.997268e+000	-1.101303e-006
4.828990360448417e-004	-1.680474e+000	-1.101234e-006
5.285797861518663e-004	-1.291982e+000	-1.101151e-006
5.774079111518664e-004	-9.061584e-001	-1.101069e-006
6.262360361518664e-004	-5.967422e-001	-1.101004e-006
6.750641611518664e-004	-3.929271e-001	-1.100962e-006
7.072297820627593e-004	-3.290674e-001	-1.100948e-006
7.229958115133549e-004	-3.283698e-001	-1.100948e-006
7.408403726456530e-004	-3.553567e-001	-1.100954e-006
7.615923597396365e-004	-4.159597e-001	-1.100966e-006
7.838696156194645e-004	-5.204736e-001	-1.100988e-006
8.199902588456822e-004	-7.708836e-001	-1.101040e-006
