time	V(vin)	I(D1)	I(D2)	I(D6)
0.000000000000000e+000	0.000000e+000	1.051550e-011	2.177038e-011	1.395803e-002
1.283566106842308e-006	1.155210e-004	1.051553e-011	2.156915e-011	1.395803e-002
2.567132213684616e-006	2.310419e-004	1.051557e-011	2.141871e-011	1.395803e-002
3.850698320526923e-006	3.465629e-004	1.051562e-011	2.131906e-011	1.395803e-002
5.134264427369231e-006	4.620838e-004	1.051567e-011	2.127022e-011	1.395803e-002
6.417830534211539e-006	5.776048e-004	1.051572e-011	2.127216e-011	1.395803e-002
7.701396641053846e-006	6.931257e-004	1.051578e-011	2.132490e-011	1.395802e-002
8.984962747896151e-006	8.086467e-004	1.051584e-011	2.142844e-011	1.395802e-002
2.631239915082634e-003	2.368116e-001	1.057138e-011	2.142864e-011	1.395550e-002
5.253494867417372e-003	4.728146e-001	1.062234e-011	2.142889e-011	1.395246e-002
7.875749819752108e-003	7.088175e-001	1.066872e-011	2.142918e-011	1.394889e-002
1.049800477208685e-002	9.448205e-001	1.071051e-011	2.142950e-011	1.394479e-002
1.312025972442158e-002	1.180823e+000	1.074771e-011	2.142987e-011	1.394016e-002
1.574251467675632e-002	1.416826e+000	1.078033e-011	2.143028e-011	1.393501e-002
1.836476962909105e-002	1.652829e+000	1.080837e-011	2.143073e-011	1.392934e-002
1.949479195051964e-002	1.754531e+000	1.082557e-011	2.143094e-011	1.392665e-002
2.062481427194823e-002	1.856233e+000	1.085300e-011	2.143120e-011	1.392337e-002
2.175483659337682e-002	1.957935e+000	1.089067e-011	2.143150e-011	1.391950e-002
2.288485891480541e-002	2.059637e+000	1.093856e-011	2.143184e-011	1.391502e-002
2.401488123623399e-002	2.161339e+000	1.099669e-011	2.143223e-011	1.390995e-002
2.514490355766258e-002	2.263041e+000	1.106505e-011	2.143267e-011	1.390428e-002
2.627492587909117e-002	2.364743e+000	1.114364e-011	2.143315e-011	1.389801e-002
2.673530534337689e-002	2.406177e+000	1.117746e-011	2.143336e-011	1.389520e-002
2.719568480766261e-002	2.447612e+000	1.122915e-011	2.143362e-011	1.389173e-002
2.765606427194833e-002	2.489046e+000	1.129870e-011	2.143393e-011	1.388759e-002
2.811644373623405e-002	2.530480e+000	1.138612e-011	2.143428e-011	1.388279e-002
2.857682320051977e-002	2.571914e+000	1.149140e-011	2.143469e-011	1.387733e-002
2.903720266480549e-002	2.613348e+000	1.161455e-011	2.143514e-011	1.387120e-002
2.949758212909121e-002	2.654782e+000	1.175557e-011	2.143563e-011	1.386441e-002
2.967894373623407e-002	2.671105e+000	1.181607e-011	2.143585e-011	1.386145e-002
2.986030534337693e-002	2.687427e+000	1.190388e-011	2.143611e-011	1.385777e-002
3.004166695051979e-002	2.703750e+000	1.201899e-011	2.143643e-011	1.385336e-002
3.022302855766265e-002	2.720072e+000	1.216139e-011	2.143679e-011	1.384822e-002
3.040439016480551e-002	2.736395e+000	1.233110e-011	2.143719e-011	1.384237e-002
3.058575177194837e-002	2.752718e+000	1.252812e-011	2.143765e-011	1.383579e-002
3.076711337909123e-002	2.769040e+000	1.275243e-011	2.143816e-011	1.382849e-002
3.096242587909123e-002	2.786618e+000	1.312813e-011	2.143889e-011	1.381755e-002
3.106008212909123e-002	2.795407e+000	1.338313e-011	2.143935e-011	1.381063e-002
3.115773837909124e-002	2.804196e+000	1.371014e-011	2.143989e-011	1.380223e-002
3.125539462909124e-002	2.812985e+000	1.414828e-011	2.144056e-011	1.379168e-002
3.135305087909124e-002	2.821774e+000	1.476960e-011	2.144141e-011	1.377779e-002
3.145070712909124e-002	2.830564e+000	1.570991e-011	2.144254e-011	1.375857e-002
3.154836337909124e-002	2.839353e+000	1.719602e-011	2.144401e-011	1.373124e-002
3.164601962909124e-002	2.848142e+000	1.947582e-011	2.144574e-011	1.369386e-002
3.174367587909124e-002	2.856931e+000	2.262282e-011	2.144738e-011	1.364783e-002
3.193898837909125e-002	2.874509e+000	3.085858e-011	2.144800e-011	1.354447e-002
3.213430087909125e-002	2.892087e+000	4.056024e-011	2.143737e-011	1.343803e-002
3.223195712909125e-002	2.900876e+000	4.563361e-011	2.130053e-011	1.338457e-002
3.232961337909125e-002	2.909665e+000	5.069483e-011	2.059323e-011	1.333100e-002
3.239613525094173e-002	2.915652e+000	5.406712e-011	1.910107e-011	1.329445e-002
3.246413501224664e-002	2.921772e+000	5.739111e-011	1.606036e-011	1.325702e-002
3.253641285481655e-002	2.928277e+000	6.080761e-011	1.157183e-011	1.321720e-002
3.253735851685972e-002	2.928362e+000	6.085178e-011	1.150194e-011	1.321668e-002
3.254303248911873e-002	2.928873e+000	6.111071e-011	1.104218e-011	1.321354e-002
3.255059778546408e-002	2.929554e+000	6.145122e-011	1.049967e-011	1.320937e-002
